Epoch,Before Cost,After Cost
"[189, 215991.86846923828, 152033.3237915039]"
"[190, 218401.4581298828, 152985.2894897461]"
"[191, 209628.9237060547, 144567.3148803711]"
"[192, 227467.56811523438, 158995.4443359375]"
"[193, 226172.86450195312, 158646.15634155273]"
"[194, 213122.625, 147271.8656616211]"
"[195, 216463.60284423828, 151558.0760498047]"
"[196, 220210.57525634766, 154661.53442382812]"
"[197, 217343.59942626953, 148603.12042236328]"
"[198, 215452.85400390625, 148921.06994628906]"
"[199, 230795.65948486328, 158085.40625]"
"[200, 232514.84576416016, 164321.0855102539]"
"[201, 214231.10833740234, 149194.48370361328]"
"[202, 219230.91387939453, 152078.38116455078]"
"[203, 226242.75646972656, 156980.6142578125]"
"[204, 224036.22790527344, 158889.23889160156]"
"[205, 220853.06866455078, 155583.07778930664]"
"[206, 210726.13214111328, 146465.6280822754]"
"[207, 222674.54724121094, 158038.63934326172]"
"[208, 221254.8712158203, 154410.04907226562]"
"[209, 231699.94091796875, 160615.3387451172]"
"[210, 210942.47296142578, 146624.12982177734]"
"[211, 215221.39587402344, 149557.05657958984]"
"[212, 218141.55627441406, 151930.71337890625]"
"[213, 227631.24645996094, 159697.13555908203]"
"[214, 216983.677734375, 151756.22143554688]"
"[215, 210117.7139892578, 147617.97988891602]"
"[216, 225800.18774414062, 155363.44778442383]"
"[217, 223513.15869140625, 156318.09967041016]"
"[218, 210336.11499023438, 145345.6245727539]"
"[219, 218635.42431640625, 153097.7274169922]"
"[220, 214193.64447021484, 148329.73596191406]"
"[221, 217227.22680664062, 149772.53381347656]"
"[222, 212265.2169189453, 147455.6325378418]"
"[223, 217928.3760986328, 150894.52047729492]"
"[224, 209615.61169433594, 144702.10760498047]"
"[225, 219155.00506591797, 151536.76373291016]"
"[226, 223194.2420654297, 156273.92333984375]"
"[227, 217710.66485595703, 149428.91290283203]"
"[228, 219086.13751220703, 151941.34786987305]"
"[229, 221616.04974365234, 154179.83966064453]"
"[230, 218739.3955078125, 155837.38232421875]"
"[231, 216629.49090576172, 149209.94158935547]"
"[232, 220472.05792236328, 153439.04974365234]"
"[233, 218541.07452392578, 152266.05072021484]"
"[234, 217188.8790283203, 153522.56491088867]"
"[235, 224232.9263305664, 155116.3135986328]"
"[236, 214362.99145507812, 150268.93041992188]"
"[237, 221555.76196289062, 154788.27044677734]"
"[238, 221009.9370727539, 151923.54028320312]"
"[239, 204720.6973876953, 141932.10913085938]"
"[240, 213587.41528320312, 147709.2191772461]"
"[241, 212520.48358154297, 147507.2587890625]"
"[242, 220130.33154296875, 152757.18170166016]"
"[243, 210564.1830444336, 146456.27239990234]"
"[244, 222077.14764404297, 152409.1514892578]"
"[245, 228400.61096191406, 158497.49487304688]"
"[246, 205786.0313720703, 142719.38110351562]"
"[247, 222114.00128173828, 153317.17419433594]"
"[248, 217215.30828857422, 150767.27270507812]"
"[249, 213076.73150634766, 148846.32916259766]"
"[250, 213615.39581298828, 151250.58026123047]"
"[251, 218604.87255859375, 152377.17211914062]"
"[252, 222135.97412109375, 153733.85125732422]"
"[253, 216237.18969726562, 150396.53952026367]"
"[254, 214676.91955566406, 149966.4496459961]"
"[255, 217197.71368408203, 148154.59112548828]"
"[256, 214916.8648071289, 148097.82458496094]"
"[257, 218465.57653808594, 152587.2567138672]"
"[258, 217203.26947021484, 155356.96563720703]"
"[259, 222144.41876220703, 157839.02954101562]"
"[260, 217961.09020996094, 153611.9676513672]"
"[261, 217635.55249023438, 150780.36917114258]"
"[262, 218570.13049316406, 153438.44921875]"
"[263, 228686.32385253906, 161632.19396972656]"
"[264, 223030.80438232422, 156030.81817626953]"
"[265, 223943.84521484375, 154645.74877929688]"
"[266, 216847.23992919922, 149708.85528564453]"
"[267, 222175.87518310547, 152845.5518798828]"
"[268, 217971.2699584961, 155188.05169677734]"
"[269, 217594.62927246094, 150929.38259887695]"
"[270, 216393.93115234375, 149103.15872192383]"
"[271, 207606.01892089844, 145881.02502441406]"
"[272, 222787.55780029297, 155066.6188659668]"
"[273, 215959.55645751953, 151385.05102539062]"
"[274, 215045.11791992188, 149205.88549804688]"
"[275, 227838.47149658203, 159703.31036376953]"
"[276, 216478.99450683594, 149321.90563964844]"
"[277, 216537.18811035156, 149514.75909423828]"
"[278, 222676.9764404297, 154709.7367553711]"
"[279, 219231.41485595703, 154465.12896728516]"
"[280, 222073.7144165039, 158566.58428955078]"
"[281, 224837.76446533203, 156698.05712890625]"
"[282, 218083.3002319336, 150373.90704345703]"
"[283, 226754.84283447266, 156622.64782714844]"
"[284, 227742.13763427734, 156629.07473754883]"
"[285, 211360.41857910156, 148043.9041442871]"
"[286, 214814.55126953125, 151053.10217285156]"
"[287, 220174.0474243164, 154385.00787353516]"
"[288, 229416.98901367188, 160932.05877685547]"
"[289, 219721.79223632812, 152203.50720214844]"
"[290, 216295.06604003906, 152229.73760986328]"
"[291, 222264.63256835938, 157244.91540527344]"
"[292, 232109.8139038086, 161086.3739013672]"
"[293, 217640.69580078125, 151815.67239379883]"
"[294, 214114.0753173828, 147915.6612548828]"
"[295, 227437.99493408203, 160427.75830078125]"
"[296, 212197.62982177734, 149331.39349365234]"
"[297, 228385.02142333984, 161388.15676879883]"
"[298, 227988.87084960938, 159937.05505371094]"
"[299, 219288.75299072266, 153864.67938232422]"
"[300, 216483.97302246094, 150959.3052368164]"
"[301, 225518.69299316406, 157359.38702392578]"
"[302, 214863.95489501953, 151351.9846496582]"
"[303, 223094.06005859375, 155418.53680419922]"
"[304, 223512.3462524414, 156802.80743408203]"
"[305, 226293.17547607422, 156869.7559814453]"
"[306, 224055.12817382812, 156687.19366455078]"
"[307, 227335.2724609375, 158407.33782958984]"
"[308, 219845.8280029297, 151529.140625]"
"[309, 228750.91888427734, 158115.89318847656]"
"[310, 219329.48321533203, 155657.3267211914]"
"[311, 214697.04205322266, 148280.79913330078]"
"[312, 223769.4107055664, 156594.27081298828]"
"[313, 222923.8529663086, 156540.68185424805]"
"[314, 216838.59783935547, 149880.59893798828]"
"[315, 216837.85107421875, 149513.90454101562]"
"[316, 217555.1650390625, 151489.31610107422]"
"[317, 224240.02758789062, 155436.51879882812]"
"[318, 209149.80151367188, 142809.11199951172]"
"[319, 210059.08087158203, 145693.23217773438]"
"[320, 217183.91009521484, 151034.0128173828]"
"[321, 217005.1337890625, 152299.13507080078]"
"[322, 221857.95916748047, 154819.9482421875]"
"[323, 223771.81182861328, 156615.78649902344]"
"[324, 214632.41064453125, 150393.0867919922]"
"[325, 213161.84411621094, 148626.5073852539]"
"[326, 212564.82684326172, 148218.20239257812]"
"[327, 219289.39520263672, 152933.22918701172]"
"[328, 220899.39013671875, 152931.33419799805]"
"[329, 213883.25958251953, 149394.42041015625]"
"[330, 232707.66900634766, 161568.85498046875]"
"[331, 227172.67864990234, 157524.0492553711]"
"[332, 213089.62237548828, 147196.5827331543]"
"[333, 214768.37060546875, 150653.55395507812]"
"[334, 213398.25506591797, 149445.3416748047]"
"[335, 208741.68927001953, 146616.46551513672]"
"[336, 220706.15264892578, 152814.52478027344]"
"[337, 213598.77178955078, 150715.63885498047]"
"[338, 219007.88024902344, 154534.11614990234]"
"[339, 212692.1039428711, 146884.45001220703]"
"[340, 223930.93701171875, 158038.787109375]"
"[341, 219563.82098388672, 153161.03930664062]"
"[342, 217566.3214111328, 150876.9852294922]"
"[343, 222638.57177734375, 156964.25665283203]"
"[344, 227064.2254638672, 161005.88388061523]"
"[345, 223609.86590576172, 155279.0047607422]"
"[346, 227553.12365722656, 161066.63623046875]"
"[347, 224079.0220336914, 154655.8159790039]"
"[348, 211495.93341064453, 147373.94555664062]"
"[349, 223675.06365966797, 157119.3302001953]"
"[350, 226868.84423828125, 158109.31311035156]"
"[351, 221086.9305419922, 154390.09344482422]"
"[352, 220391.51831054688, 156113.12469482422]"
"[353, 212647.46325683594, 148260.70028686523]"
"[354, 220295.02014160156, 152006.54858398438]"
"[355, 223252.91442871094, 156729.74270629883]"
