Epoch,Before Cost,After Cost
"[348, 276557.25, 149111.859375]"
"[349, 267021.6875, 174235.609375]"
"[350, 158981.515625, 120056.1328125]"
"[351, 206748.796875, 119485.9609375]"
"[352, 185941.859375, 121568.7421875]"
"[353, 312295.40625, 183228.28125]"
"[354, 166953.25, 146997.734375]"
"[355, 210998.984375, 145435.65625]"
"[356, 266514.40625, 203975.71875]"
"[357, 161346.015625, 90221.921875]"
"[358, 318891.1875, 197174.78125]"
"[359, 229200.125, 167225.359375]"
"[360, 249462.90625, 155670.703125]"
"[361, 161427.359375, 113074.96875]"
"[362, 293053.1875, 216563.28125]"
"[363, 171129.03125, 103849.21875]"
"[364, 186046.4375, 117970.453125]"
"[365, 199809.921875, 138112.0]"
"[366, 222845.5625, 156386.78125]"
"[367, 208900.09375, 147573.125]"
"[368, 217314.125, 146928.40625]"
"[369, 171109.28125, 88865.203125]"
"[370, 226555.28125, 188780.359375]"
"[371, 244777.921875, 150107.78125]"
"[372, 315796.40625, 231936.765625]"
"[373, 192991.96875, 125656.46875]"
"[374, 188688.734375, 118690.2421875]"
"[375, 290328.375, 184363.328125]"
"[376, 264089.5625, 156121.4375]"
"[377, 250714.140625, 205211.234375]"
"[378, 345854.34375, 237695.25]"
"[379, 133157.78125, 68603.4765625]"
"[380, 136835.78125, 76655.75]"
"[381, 241625.140625, 137540.5]"
"[382, 165415.921875, 101546.1171875]"
"[383, 167943.546875, 93159.1328125]"
"[384, 322391.1875, 225190.203125]"
"[385, 146164.5625, 79973.78125]"
"[386, 287638.28125, 194832.90625]"
"[387, 157230.203125, 115676.6015625]"
"[388, 342413.625, 235133.15625]"
"[389, 193492.40625, 128223.9765625]"
"[390, 166988.265625, 105742.3984375]"
"[391, 186734.578125, 137462.125]"
"[392, 210161.65625, 143723.28125]"
"[393, 257694.546875, 192697.4375]"
"[394, 364471.1875, 232351.625]"
"[395, 223942.125, 153977.328125]"
"[396, 220577.921875, 121444.265625]"
"[397, 217529.9375, 140509.78125]"
"[398, 180837.9375, 136448.765625]"
"[399, 168133.125, 90963.34375]"
"[400, 193566.78125, 123572.6171875]"
"[401, 229635.546875, 183731.15625]"
"[402, 203021.375, 153273.75]"
"[403, 361698.25, 196873.796875]"
"[404, 230217.75, 174840.5]"
"[405, 289215.21875, 217753.15625]"
"[406, 233378.1875, 138326.671875]"
"[407, 228561.375, 161209.71875]"
"[408, 241827.109375, 165823.3125]"
"[409, 297553.09375, 196817.046875]"
"[410, 247767.921875, 173110.171875]"
"[411, 250011.109375, 176519.265625]"
"[412, 262090.71875, 186140.21875]"
"[413, 200604.03125, 126786.8125]"
"[414, 222518.875, 151340.640625]"
"[415, 174622.796875, 104166.421875]"
"[416, 206206.78125, 136617.15625]"
"[417, 280217.8125, 231755.515625]"
"[418, 242448.5, 174906.53125]"
"[419, 194267.78125, 121045.7421875]"
"[420, 203049.890625, 155624.375]"
"[421, 210161.65625, 138352.03125]"
"[422, 307248.09375, 228859.640625]"
"[423, 164826.453125, 98110.265625]"
"[424, 256937.484375, 156009.046875]"
"[425, 159444.1875, 105357.8203125]"
"[426, 338544.84375, 246081.625]"
"[427, 223486.578125, 129218.6953125]"
"[428, 195381.71875, 110407.671875]"
"[429, 227886.25, 153610.140625]"
"[430, 224050.375, 131288.953125]"
"[431, 171129.03125, 104250.328125]"
"[432, 186636.609375, 126499.4609375]"
"[433, 197412.9375, 100258.953125]"
"[434, 232280.0, 175020.921875]"
"[435, 243833.296875, 126768.3515625]"
"[436, 250496.015625, 183726.75]"
"[437, 229075.796875, 171856.984375]"
"[438, 186293.5625, 125276.0625]"
"[439, 189024.59375, 105461.5390625]"
"[440, 239717.21875, 188813.046875]"
"[441, 254151.890625, 177802.71875]"
"[442, 174494.109375, 121635.203125]"
"[443, 264467.375, 186797.1875]"
"[444, 122186.796875, 74237.15625]"
"[445, 217242.0625, 137588.0625]"
"[446, 219343.484375, 142247.46875]"
"[447, 168377.984375, 98662.453125]"
"[448, 322577.5625, 223579.65625]"
"[449, 213359.109375, 132526.8125]"
"[450, 209745.4375, 133901.328125]"
"[451, 221306.328125, 150738.625]"
"[452, 202574.984375, 121758.3203125]"
"[453, 188429.015625, 122427.9609375]"
"[454, 149872.765625, 110905.828125]"
"[455, 147866.875, 94783.140625]"
"[456, 183744.59375, 122937.6796875]"
"[457, 289218.4375, 198936.234375]"
"[458, 206833.421875, 124145.71875]"
"[459, 202458.546875, 123453.4140625]"
"[460, 223686.296875, 119811.7265625]"
"[461, 172997.71875, 95898.5234375]"
"[462, 237616.3125, 139887.359375]"
"[463, 184455.140625, 133957.703125]"
"[464, 296474.375, 204954.328125]"
"[465, 243480.375, 161558.6875]"
"[466, 214250.6875, 145057.09375]"
"[467, 171109.28125, 88865.203125]"
"[468, 282704.71875, 189214.296875]"
"[469, 320426.375, 237277.59375]"
"[470, 223903.046875, 144370.5625]"
"[471, 169333.875, 121028.1328125]"
"[472, 252501.203125, 142340.890625]"
"[473, 257370.375, 166130.75]"
"[474, 210998.984375, 145061.765625]"
"[475, 219099.09375, 170620.0]"
"[476, 157932.40625, 102094.578125]"
"[477, 194605.515625, 149740.921875]"
"[478, 152442.515625, 102974.59375]"
"[479, 170181.609375, 106990.46875]"
"[480, 201710.71875, 122917.8828125]"
"[481, 156838.703125, 118531.0625]"
"[482, 152279.40625, 87442.6015625]"
"[483, 205537.859375, 129837.0859375]"
"[484, 208900.09375, 150941.21875]"
"[485, 232011.671875, 126677.9921875]"
"[486, 164984.96875, 97382.984375]"
"[487, 316568.90625, 221042.171875]"
"[488, 261866.09375, 174589.96875]"
"[489, 185763.265625, 124475.859375]"
"[490, 211973.421875, 108867.375]"
"[491, 209128.015625, 124188.6328125]"
"[492, 157098.734375, 98352.515625]"
"[493, 232499.53125, 164838.34375]"
"[494, 186518.453125, 129794.828125]"
"[495, 252541.59375, 164327.109375]"
"[496, 200396.5625, 129236.765625]"
"[497, 160367.03125, 119130.25]"
"[498, 289399.75, 205924.96875]"
"[499, 187713.453125, 115690.78125]"
"[500, 255360.96875, 187619.328125]"
"[501, 175041.625, 97331.8046875]"
"[502, 215763.3125, 163100.8125]"
"[503, 174517.921875, 115134.7890625]"
"[504, 170451.65625, 115149.3984375]"
"[505, 291298.84375, 174517.421875]"
"[506, 251639.640625, 161283.890625]"
"[507, 271571.15625, 162708.03125]"
"[508, 284368.96875, 145672.078125]"
"[509, 257706.1875, 167866.65625]"
"[510, 270961.1875, 168700.78125]"
"[511, 207172.84375, 111430.9609375]"
"[512, 205545.453125, 134556.625]"
"[513, 243352.21875, 170893.703125]"
"[514, 329772.90625, 204718.859375]"
"[515, 211203.421875, 133775.625]"
"[516, 161246.96875, 95837.3203125]"
"[517, 293807.375, 200494.34375]"
"[518, 140601.84375, 96422.0546875]"
"[519, 256737.75, 148423.65625]"
"[520, 190119.65625, 128379.640625]"
"[521, 133157.78125, 67795.625]"
"[522, 254030.75, 157478.09375]"
"[523, 257029.25, 175208.984375]"
"[524, 202547.5, 144064.8125]"
"[525, 314500.875, 235266.3125]"
"[526, 222333.484375, 163869.5625]"
"[527, 143271.25, 88600.4921875]"
"[528, 226973.171875, 174120.75]"
"[529, 163561.515625, 107876.1875]"
"[530, 133883.03125, 87480.9453125]"
"[531, 310296.53125, 222309.765625]"
"[532, 255625.140625, 214069.25]"
"[533, 152535.25, 95846.28125]"
"[534, 99927.546875, 62370.7890625]"
"[535, 212897.46875, 131070.5703125]"
"[536, 182001.9375, 130612.0234375]"
"[537, 164560.078125, 110838.1640625]"
"[538, 193163.234375, 131094.125]"
"[539, 293556.0625, 222716.46875]"
"[540, 168242.03125, 97660.890625]"
"[541, 148331.171875, 103645.96875]"
"[542, 197125.828125, 107063.1796875]"
"[543, 159039.296875, 87626.328125]"
"[544, 273359.0625, 207481.03125]"
"[545, 192083.71875, 133621.71875]"
"[546, 222757.171875, 143792.71875]"
"[547, 194800.34375, 140645.703125]"
"[548, 203451.6875, 125788.640625]"
"[549, 228139.09375, 142891.28125]"
"[550, 262980.1875, 172704.578125]"
"[551, 188484.625, 147301.65625]"
"[552, 259222.5, 149508.78125]"
"[553, 101829.1640625, 63885.55859375]"
"[554, 207374.96875, 135780.171875]"
"[555, 251352.75, 179209.53125]"
"[556, 184751.53125, 128813.1953125]"
